14:59:28 Before test:	item id: 610018, item count: 100, gold coin: 100145, 
14:59:33 After test:	item id: 610018, item count: 60, gold coin: 100582, 
14:59:33 Before test:	item id: 610018, item count: 60, gold coin: 100582, 
14:59:33 After test:	item id: 610018, item count: 59, gold coin: 100595, 
14:59:33 Before test:	item id: 610018, item count: 59, gold coin: 100595, 
14:59:33 After test:	item id: 610018, item count: 58, gold coin: 100601, 
14:59:33 Before test:	item id: 610018, item count: 58, gold coin: 100601, 
14:59:33 After test:	item id: 610018, item count: 57, gold coin: 100613, 
14:59:33 Before test:	item id: 610018, item count: 57, gold coin: 100613, 
14:59:33 After test:	item id: 610018, item count: 56, gold coin: 100622, 
14:59:33 Before test:	item id: 610018, item count: 56, gold coin: 100622, 
14:59:33 After test:	item id: 610018, item count: 55, gold coin: 100636, 
14:59:33 Before test:	item id: 610018, item count: 55, gold coin: 100636, 
14:59:33 After test:	item id: 610018, item count: 54, gold coin: 100645, 
14:59:33 Before test:	item id: 610018, item count: 54, gold coin: 100645, 
14:59:33 After test:	item id: 610018, item count: 53, gold coin: 100653, 
14:59:33 Before test:	item id: 610018, item count: 53, gold coin: 100653, 
14:59:34 After test:	item id: 610018, item count: 52, gold coin: 100659, 
14:59:34 Before test:	item id: 610018, item count: 52, gold coin: 100659, 
14:59:34 After test:	item id: 610018, item count: 51, gold coin: 100672, 
14:59:34 Before test:	item id: 610018, item count: 51, gold coin: 100672, 
14:59:34 After test:	item id: 610018, item count: 50, gold coin: 100685, 
14:59:34 Before test:	item id: 610018, item count: 50, gold coin: 100685, 
14:59:34 After test:	item id: 610018, item count: 49, gold coin: 100694, 
14:59:34 Before test:	item id: 610018, item count: 49, gold coin: 100694, 
14:59:34 After test:	item id: 610018, item count: 48, gold coin: 100701, 
14:59:34 Before test:	item id: 610018, item count: 48, gold coin: 100701, 
14:59:34 After test:	item id: 610018, item count: 47, gold coin: 100713, 
14:59:34 Before test:	item id: 610018, item count: 47, gold coin: 100713, 
14:59:34 After test:	item id: 610018, item count: 46, gold coin: 100718, 
14:59:34 Before test:	item id: 610018, item count: 46, gold coin: 100718, 
14:59:34 After test:	item id: 610018, item count: 45, gold coin: 100733, 
14:59:34 Before test:	item id: 610018, item count: 45, gold coin: 100733, 
14:59:34 After test:	item id: 610018, item count: 44, gold coin: 100740, 
14:59:34 Before test:	item id: 610018, item count: 44, gold coin: 100740, 
14:59:34 After test:	item id: 610018, item count: 43, gold coin: 100748, 
14:59:34 Before test:	item id: 610018, item count: 43, gold coin: 100748, 
14:59:35 After test:	item id: 610018, item count: 42, gold coin: 100758, 
14:59:35 Before test:	item id: 610018, item count: 42, gold coin: 100758, 
14:59:35 After test:	item id: 610018, item count: 41, gold coin: 100767, 
14:59:35 Before test:	item id: 610018, item count: 41, gold coin: 100767, 
14:59:35 After test:	item id: 610018, item count: 40, gold coin: 100774, 
14:59:35 Before test:	item id: 610018, item count: 40, gold coin: 100774, 
14:59:35 After test:	item id: 610018, item count: 39, gold coin: 100785, 
14:59:35 Before test:	item id: 610018, item count: 39, gold coin: 100785, 
14:59:35 After test:	item id: 610018, item count: 38, gold coin: 100796, 
14:59:35 Before test:	item id: 610018, item count: 38, gold coin: 100796, 
14:59:35 After test:	item id: 610018, item count: 37, gold coin: 100803, 
14:59:35 Before test:	item id: 610018, item count: 37, gold coin: 100803, 
14:59:35 After test:	item id: 610018, item count: 36, gold coin: 100809, 
14:59:35 Before test:	item id: 610018, item count: 36, gold coin: 100809, 
14:59:35 After test:	item id: 610018, item count: 35, gold coin: 100839, 
14:59:35 Before test:	item id: 610018, item count: 35, gold coin: 100839, 
14:59:35 After test:	item id: 610018, item count: 34, gold coin: 100849, 
14:59:35 Before test:	item id: 610018, item count: 34, gold coin: 100849, 
14:59:35 After test:	item id: 610018, item count: 33, gold coin: 100859, 
14:59:35 Before test:	item id: 610018, item count: 33, gold coin: 100859, 
14:59:36 After test:	item id: 610018, item count: 32, gold coin: 100865, 
14:59:36 Before test:	item id: 610018, item count: 32, gold coin: 100865, 
14:59:36 After test:	item id: 610018, item count: 31, gold coin: 100874, 
14:59:36 Before test:	item id: 610018, item count: 31, gold coin: 100874, 
14:59:36 After test:	item id: 610018, item count: 30, gold coin: 100888, 
14:59:36 Before test:	item id: 610018, item count: 30, gold coin: 100888, 
14:59:36 After test:	item id: 610018, item count: 29, gold coin: 100918, 
14:59:36 Before test:	item id: 610018, item count: 29, gold coin: 100918, 
14:59:36 After test:	item id: 610018, item count: 28, gold coin: 100933, 
14:59:36 Before test:	item id: 610018, item count: 28, gold coin: 100933, 
14:59:36 After test:	item id: 610018, item count: 27, gold coin: 100942, 
14:59:36 Before test:	item id: 610018, item count: 27, gold coin: 100942, 
14:59:36 After test:	item id: 610018, item count: 26, gold coin: 100947, 
14:59:36 Before test:	item id: 610018, item count: 26, gold coin: 100947, 
14:59:36 After test:	item id: 610018, item count: 25, gold coin: 100962, 
14:59:36 Before test:	item id: 610018, item count: 25, gold coin: 100962, 
14:59:36 After test:	item id: 610018, item count: 24, gold coin: 100972, 
14:59:36 Before test:	item id: 610018, item count: 24, gold coin: 100972, 
14:59:36 After test:	item id: 610018, item count: 23, gold coin: 100981, 
14:59:36 Before test:	item id: 610018, item count: 23, gold coin: 100981, 
14:59:37 After test:	item id: 610018, item count: 22, gold coin: 101011, 
14:59:37 Before test:	item id: 610018, item count: 22, gold coin: 101011, 
14:59:37 After test:	item id: 610018, item count: 21, gold coin: 101016, 
14:59:37 Before test:	item id: 610018, item count: 21, gold coin: 101016, 
14:59:37 After test:	item id: 610018, item count: 20, gold coin: 101022, 
14:59:37 Before test:	item id: 610018, item count: 20, gold coin: 101022, 
14:59:37 After test:	item id: 610018, item count: 19, gold coin: 101033, 
14:59:37 Before test:	item id: 610018, item count: 19, gold coin: 101033, 
14:59:37 After test:	item id: 610018, item count: 18, gold coin: 101063, 
14:59:37 Before test:	item id: 610018, item count: 18, gold coin: 101063, 
14:59:37 After test:	item id: 610018, item count: 17, gold coin: 101077, 
14:59:37 Before test:	item id: 610018, item count: 17, gold coin: 101077, 
14:59:37 After test:	item id: 610018, item count: 16, gold coin: 101090, 
14:59:37 Before test:	item id: 610018, item count: 16, gold coin: 101090, 
14:59:37 After test:	item id: 610018, item count: 15, gold coin: 101101, 
14:59:37 Before test:	item id: 610018, item count: 15, gold coin: 101101, 
14:59:37 After test:	item id: 610018, item count: 14, gold coin: 101115, 
14:59:37 Before test:	item id: 610018, item count: 14, gold coin: 101115, 
14:59:37 After test:	item id: 610018, item count: 13, gold coin: 101123, 
14:59:37 Before test:	item id: 610018, item count: 13, gold coin: 101123, 
14:59:38 After test:	item id: 610018, item count: 12, gold coin: 101138, 
14:59:38 Before test:	item id: 610018, item count: 12, gold coin: 101138, 
14:59:38 After test:	item id: 610018, item count: 11, gold coin: 101151, 
14:59:38 Before test:	item id: 610018, item count: 11, gold coin: 101151, 
14:59:38 After test:	item id: 610018, item count: 10, gold coin: 101159, 
14:59:38 Before test:	item id: 610018, item count: 10, gold coin: 101159, 
14:59:38 After test:	item id: 610018, item count: 9, gold coin: 101169, 
14:59:38 Before test:	item id: 610018, item count: 9, gold coin: 101169, 
14:59:38 After test:	item id: 610018, item count: 8, gold coin: 101182, 
14:59:38 Before test:	item id: 610018, item count: 8, gold coin: 101182, 
14:59:38 After test:	item id: 610018, item count: 7, gold coin: 101191, 
14:59:38 Before test:	item id: 610018, item count: 7, gold coin: 101191, 
14:59:38 After test:	item id: 610018, item count: 6, gold coin: 101221, 
14:59:38 Before test:	item id: 610018, item count: 6, gold coin: 101221, 
14:59:38 After test:	item id: 610018, item count: 5, gold coin: 101227, 
14:59:38 Before test:	item id: 610018, item count: 5, gold coin: 101227, 
14:59:38 After test:	item id: 610018, item count: 4, gold coin: 101235, 
14:59:38 Before test:	item id: 610018, item count: 4, gold coin: 101235, 
14:59:38 After test:	item id: 610018, item count: 3, gold coin: 101242, 
14:59:38 Before test:	item id: 610018, item count: 3, gold coin: 101242, 
14:59:39 After test:	item id: 610018, item count: 2, gold coin: 101251, 
14:59:39 Before test:	item id: 610018, item count: 2, gold coin: 101251, 
14:59:39 After test:	item id: 610018, item count: 1, gold coin: 101257, 
14:59:39 Before test:	item id: 610018, item count: 1, gold coin: 101257, 
14:59:39 After test:	item id: 610018, item count: 0, gold coin: 101263, 
15:00:47 Before test:	item id: 610018, item count: 100, gold coin: 101263, 
15:00:47 After test:	item id: 610018, item count: 99, gold coin: 101275, 
15:00:48 Before test:	item id: 610018, item count: 99, gold coin: 101275, 
15:00:48 After test:	item id: 610018, item count: 98, gold coin: 101290, 
15:00:48 Before test:	item id: 610018, item count: 98, gold coin: 101290, 
15:00:48 After test:	item id: 610018, item count: 97, gold coin: 101295, 
15:00:48 Before test:	item id: 610018, item count: 97, gold coin: 101295, 
15:00:48 After test:	item id: 610018, item count: 96, gold coin: 101306, 
15:00:48 Before test:	item id: 610018, item count: 96, gold coin: 101306, 
15:00:48 After test:	item id: 610018, item count: 95, gold coin: 101314, 
15:00:48 Before test:	item id: 610018, item count: 95, gold coin: 101314, 
15:00:48 After test:	item id: 610018, item count: 94, gold coin: 101329, 
15:00:48 Before test:	item id: 610018, item count: 94, gold coin: 101329, 
15:00:48 After test:	item id: 610018, item count: 93, gold coin: 101339, 
15:00:48 Before test:	item id: 610018, item count: 93, gold coin: 101339, 
15:00:48 After test:	item id: 610018, item count: 92, gold coin: 101369, 
15:00:48 Before test:	item id: 610018, item count: 92, gold coin: 101369, 
15:00:48 After test:	item id: 610018, item count: 91, gold coin: 101384, 
15:00:48 Before test:	item id: 610018, item count: 91, gold coin: 101384, 
15:00:49 After test:	item id: 610018, item count: 90, gold coin: 101392, 
15:00:49 Before test:	item id: 610018, item count: 90, gold coin: 101392, 
15:00:49 After test:	item id: 610018, item count: 89, gold coin: 101397, 
15:00:49 Before test:	item id: 610018, item count: 89, gold coin: 101397, 
15:00:49 After test:	item id: 610018, item count: 88, gold coin: 101412, 
15:00:49 Before test:	item id: 610018, item count: 88, gold coin: 101412, 
15:00:49 After test:	item id: 610018, item count: 87, gold coin: 101417, 
15:00:49 Before test:	item id: 610018, item count: 87, gold coin: 101417, 
15:00:49 After test:	item id: 610018, item count: 86, gold coin: 101429, 
15:00:49 Before test:	item id: 610018, item count: 86, gold coin: 101429, 
15:00:49 After test:	item id: 610018, item count: 85, gold coin: 101439, 
15:00:49 Before test:	item id: 610018, item count: 85, gold coin: 101439, 
15:00:49 After test:	item id: 610018, item count: 84, gold coin: 101452, 
15:00:49 Before test:	item id: 610018, item count: 84, gold coin: 101452, 
15:00:49 After test:	item id: 610018, item count: 83, gold coin: 101464, 
15:00:49 Before test:	item id: 610018, item count: 83, gold coin: 101464, 
15:00:49 After test:	item id: 610018, item count: 82, gold coin: 101494, 
15:00:49 Before test:	item id: 610018, item count: 82, gold coin: 101494, 
15:00:50 After test:	item id: 610018, item count: 81, gold coin: 101506, 
15:00:50 Before test:	item id: 610018, item count: 81, gold coin: 101506, 
15:00:50 After test:	item id: 610018, item count: 80, gold coin: 101512, 
15:00:50 Before test:	item id: 610018, item count: 80, gold coin: 101512, 
15:00:50 After test:	item id: 610018, item count: 79, gold coin: 101517, 
15:00:50 Before test:	item id: 610018, item count: 79, gold coin: 101517, 
15:00:50 After test:	item id: 610018, item count: 78, gold coin: 101547, 
15:00:50 Before test:	item id: 610018, item count: 78, gold coin: 101547, 
15:00:50 After test:	item id: 610018, item count: 77, gold coin: 101577, 
15:00:50 Before test:	item id: 610018, item count: 77, gold coin: 101577, 
15:00:50 After test:	item id: 610018, item count: 76, gold coin: 101589, 
15:00:50 Before test:	item id: 610018, item count: 76, gold coin: 101589, 
15:00:50 After test:	item id: 610018, item count: 75, gold coin: 101604, 
15:00:50 Before test:	item id: 610018, item count: 75, gold coin: 101604, 
15:00:50 After test:	item id: 610018, item count: 74, gold coin: 101618, 
15:00:50 Before test:	item id: 610018, item count: 74, gold coin: 101618, 
15:00:50 After test:	item id: 610018, item count: 73, gold coin: 101625, 
15:00:50 Before test:	item id: 610018, item count: 73, gold coin: 101625, 
15:00:51 After test:	item id: 610018, item count: 72, gold coin: 101633, 
15:00:51 Before test:	item id: 610018, item count: 72, gold coin: 101633, 
15:00:51 After test:	item id: 610018, item count: 71, gold coin: 101641, 
15:00:51 Before test:	item id: 610018, item count: 71, gold coin: 101641, 
15:00:51 After test:	item id: 610018, item count: 70, gold coin: 101671, 
15:00:51 Before test:	item id: 610018, item count: 70, gold coin: 101671, 
15:00:51 After test:	item id: 610018, item count: 69, gold coin: 101686, 
15:00:51 Before test:	item id: 610018, item count: 69, gold coin: 101686, 
15:00:51 After test:	item id: 610018, item count: 68, gold coin: 101700, 
15:00:51 Before test:	item id: 610018, item count: 68, gold coin: 101700, 
15:00:51 After test:	item id: 610018, item count: 67, gold coin: 101715, 
15:00:51 Before test:	item id: 610018, item count: 67, gold coin: 101715, 
15:00:51 After test:	item id: 610018, item count: 66, gold coin: 101726, 
15:00:51 Before test:	item id: 610018, item count: 66, gold coin: 101726, 
15:00:51 After test:	item id: 610018, item count: 65, gold coin: 101740, 
15:00:51 Before test:	item id: 610018, item count: 65, gold coin: 101740, 
15:00:52 After test:	item id: 610018, item count: 64, gold coin: 101746, 
15:00:52 Before test:	item id: 610018, item count: 64, gold coin: 101746, 
15:00:52 After test:	item id: 610018, item count: 63, gold coin: 101759, 
15:00:52 Before test:	item id: 610018, item count: 63, gold coin: 101759, 
15:00:52 After test:	item id: 610018, item count: 62, gold coin: 101769, 
15:00:52 Before test:	item id: 610018, item count: 62, gold coin: 101769, 
15:00:52 After test:	item id: 610018, item count: 61, gold coin: 101799, 
15:00:52 Before test:	item id: 610018, item count: 61, gold coin: 101799, 
15:00:52 After test:	item id: 610018, item count: 60, gold coin: 101807, 
15:00:52 Before test:	item id: 610018, item count: 60, gold coin: 101807, 
15:00:52 After test:	item id: 610018, item count: 59, gold coin: 101837, 
15:00:52 Before test:	item id: 610018, item count: 59, gold coin: 101837, 
15:00:52 After test:	item id: 610018, item count: 58, gold coin: 101846, 
15:00:52 Before test:	item id: 610018, item count: 58, gold coin: 101846, 
15:00:52 After test:	item id: 610018, item count: 57, gold coin: 101858, 
15:00:52 Before test:	item id: 610018, item count: 57, gold coin: 101858, 
15:00:52 After test:	item id: 610018, item count: 56, gold coin: 101888, 
15:00:52 Before test:	item id: 610018, item count: 56, gold coin: 101888, 
15:00:53 After test:	item id: 610018, item count: 55, gold coin: 101894, 
15:00:53 Before test:	item id: 610018, item count: 55, gold coin: 101894, 
15:00:53 After test:	item id: 610018, item count: 54, gold coin: 101924, 
15:00:53 Before test:	item id: 610018, item count: 54, gold coin: 101924, 
15:00:53 After test:	item id: 610018, item count: 53, gold coin: 101929, 
15:00:53 Before test:	item id: 610018, item count: 53, gold coin: 101929, 
15:00:53 After test:	item id: 610018, item count: 52, gold coin: 101940, 
15:00:53 Before test:	item id: 610018, item count: 52, gold coin: 101940, 
15:00:53 After test:	item id: 610018, item count: 51, gold coin: 101970, 
15:00:53 Before test:	item id: 610018, item count: 51, gold coin: 101970, 
15:00:53 After test:	item id: 610018, item count: 50, gold coin: 101978, 
15:00:53 Before test:	item id: 610018, item count: 50, gold coin: 101978, 
15:00:53 After test:	item id: 610018, item count: 49, gold coin: 102008, 
15:00:53 Before test:	item id: 610018, item count: 49, gold coin: 102008, 
15:00:53 After test:	item id: 610018, item count: 48, gold coin: 102017, 
15:00:53 Before test:	item id: 610018, item count: 48, gold coin: 102017, 
15:00:53 After test:	item id: 610018, item count: 47, gold coin: 102031, 
15:00:53 Before test:	item id: 610018, item count: 47, gold coin: 102031, 
15:00:54 After test:	item id: 610018, item count: 46, gold coin: 102037, 
15:00:54 Before test:	item id: 610018, item count: 46, gold coin: 102037, 
15:00:54 After test:	item id: 610018, item count: 45, gold coin: 102050, 
15:00:54 Before test:	item id: 610018, item count: 45, gold coin: 102050, 
15:00:54 After test:	item id: 610018, item count: 44, gold coin: 102061, 
15:00:54 Before test:	item id: 610018, item count: 44, gold coin: 102061, 
15:00:54 After test:	item id: 610018, item count: 43, gold coin: 102076, 
15:00:54 Before test:	item id: 610018, item count: 43, gold coin: 102076, 
15:00:54 After test:	item id: 610018, item count: 42, gold coin: 102084, 
15:00:54 Before test:	item id: 610018, item count: 42, gold coin: 102084, 
15:00:54 After test:	item id: 610018, item count: 41, gold coin: 102090, 
15:00:54 Before test:	item id: 610018, item count: 41, gold coin: 102090, 
15:00:54 After test:	item id: 610018, item count: 40, gold coin: 102097, 
15:00:54 Before test:	item id: 610018, item count: 40, gold coin: 102097, 
15:00:54 After test:	item id: 610018, item count: 39, gold coin: 102108, 
15:00:54 Before test:	item id: 610018, item count: 39, gold coin: 102108, 
15:00:54 After test:	item id: 610018, item count: 38, gold coin: 102122, 
15:00:54 Before test:	item id: 610018, item count: 38, gold coin: 102122, 
15:00:55 After test:	item id: 610018, item count: 37, gold coin: 102132, 
15:00:55 Before test:	item id: 610018, item count: 37, gold coin: 102132, 
15:00:55 After test:	item id: 610018, item count: 36, gold coin: 102137, 
15:00:55 Before test:	item id: 610018, item count: 36, gold coin: 102137, 
15:00:55 After test:	item id: 610018, item count: 35, gold coin: 102149, 
15:00:55 Before test:	item id: 610018, item count: 35, gold coin: 102149, 
15:00:55 After test:	item id: 610018, item count: 34, gold coin: 102154, 
15:00:55 Before test:	item id: 610018, item count: 34, gold coin: 102154, 
15:00:55 After test:	item id: 610018, item count: 33, gold coin: 102166, 
15:00:55 Before test:	item id: 610018, item count: 33, gold coin: 102166, 
15:00:55 After test:	item id: 610018, item count: 32, gold coin: 102177, 
15:00:55 Before test:	item id: 610018, item count: 32, gold coin: 102177, 
15:00:55 After test:	item id: 610018, item count: 31, gold coin: 102187, 
15:00:55 Before test:	item id: 610018, item count: 31, gold coin: 102187, 
15:00:55 After test:	item id: 610018, item count: 30, gold coin: 102194, 
15:00:55 Before test:	item id: 610018, item count: 30, gold coin: 102194, 
15:00:55 After test:	item id: 610018, item count: 29, gold coin: 102203, 
15:00:55 Before test:	item id: 610018, item count: 29, gold coin: 102203, 
15:00:56 After test:	item id: 610018, item count: 28, gold coin: 102216, 
15:00:56 Before test:	item id: 610018, item count: 28, gold coin: 102216, 
15:00:56 After test:	item id: 610018, item count: 27, gold coin: 102222, 
15:00:56 Before test:	item id: 610018, item count: 27, gold coin: 102222, 
15:00:56 After test:	item id: 610018, item count: 26, gold coin: 102235, 
15:00:56 Before test:	item id: 610018, item count: 26, gold coin: 102235, 
15:00:56 After test:	item id: 610018, item count: 25, gold coin: 102249, 
15:00:56 Before test:	item id: 610018, item count: 25, gold coin: 102249, 
15:00:56 After test:	item id: 610018, item count: 24, gold coin: 102264, 
15:00:56 Before test:	item id: 610018, item count: 24, gold coin: 102264, 
15:00:56 After test:	item id: 610018, item count: 23, gold coin: 102274, 
15:00:56 Before test:	item id: 610018, item count: 23, gold coin: 102274, 
15:00:56 After test:	item id: 610018, item count: 22, gold coin: 102286, 
15:00:56 Before test:	item id: 610018, item count: 22, gold coin: 102286, 
15:00:56 After test:	item id: 610018, item count: 21, gold coin: 102291, 
15:00:56 Before test:	item id: 610018, item count: 21, gold coin: 102291, 
15:00:56 After test:	item id: 610018, item count: 20, gold coin: 102301, 
15:00:56 Before test:	item id: 610018, item count: 20, gold coin: 102301, 
15:00:56 After test:	item id: 610018, item count: 19, gold coin: 102310, 
15:00:57 Before test:	item id: 610018, item count: 19, gold coin: 102310, 
15:00:57 After test:	item id: 610018, item count: 18, gold coin: 102318, 
15:00:57 Before test:	item id: 610018, item count: 18, gold coin: 102318, 
15:00:57 After test:	item id: 610018, item count: 17, gold coin: 102332, 
15:00:57 Before test:	item id: 610018, item count: 17, gold coin: 102332, 
15:00:57 After test:	item id: 610018, item count: 16, gold coin: 102344, 
15:00:57 Before test:	item id: 610018, item count: 16, gold coin: 102344, 
15:00:57 After test:	item id: 610018, item count: 15, gold coin: 102351, 
15:00:57 Before test:	item id: 610018, item count: 15, gold coin: 102351, 
15:00:57 After test:	item id: 610018, item count: 14, gold coin: 102381, 
15:00:57 Before test:	item id: 610018, item count: 14, gold coin: 102381, 
15:00:57 After test:	item id: 610018, item count: 13, gold coin: 102392, 
15:00:57 Before test:	item id: 610018, item count: 13, gold coin: 102392, 
15:00:57 After test:	item id: 610018, item count: 12, gold coin: 102402, 
15:00:57 Before test:	item id: 610018, item count: 12, gold coin: 102402, 
15:00:57 After test:	item id: 610018, item count: 11, gold coin: 102412, 
15:00:57 Before test:	item id: 610018, item count: 11, gold coin: 102412, 
15:00:57 After test:	item id: 610018, item count: 10, gold coin: 102419, 
15:00:57 Before test:	item id: 610018, item count: 10, gold coin: 102419, 
15:00:58 After test:	item id: 610018, item count: 9, gold coin: 102434, 
15:00:58 Before test:	item id: 610018, item count: 9, gold coin: 102434, 
15:00:58 After test:	item id: 610018, item count: 8, gold coin: 102441, 
15:00:58 Before test:	item id: 610018, item count: 8, gold coin: 102441, 
15:00:58 After test:	item id: 610018, item count: 7, gold coin: 102446, 
15:00:58 Before test:	item id: 610018, item count: 7, gold coin: 102446, 
15:00:58 After test:	item id: 610018, item count: 6, gold coin: 102476, 
15:00:58 Before test:	item id: 610018, item count: 6, gold coin: 102476, 
15:00:58 After test:	item id: 610018, item count: 5, gold coin: 102491, 
15:00:58 Before test:	item id: 610018, item count: 5, gold coin: 102491, 
15:00:58 After test:	item id: 610018, item count: 4, gold coin: 102502, 
15:00:58 Before test:	item id: 610018, item count: 4, gold coin: 102502, 
15:00:58 After test:	item id: 610018, item count: 3, gold coin: 102514, 
15:00:58 Before test:	item id: 610018, item count: 3, gold coin: 102514, 
15:00:58 After test:	item id: 610018, item count: 2, gold coin: 102523, 
15:00:58 Before test:	item id: 610018, item count: 2, gold coin: 102523, 
15:00:58 After test:	item id: 610018, item count: 1, gold coin: 102534, 
15:00:58 Before test:	item id: 610018, item count: 1, gold coin: 102534, 
15:00:59 After test:	item id: 610018, item count: 0, gold coin: 102549, 
15:00:59 Before test:	item id: 610018, item count: 100, gold coin: 102549, 
15:00:59 After test:	item id: 610018, item count: 99, gold coin: 102557, 
15:00:59 Before test:	item id: 610018, item count: 99, gold coin: 102557, 
15:00:59 After test:	item id: 610018, item count: 98, gold coin: 102572, 
